"Time","Whole","Hokkaido","Aomori","Iwate","Miyagi","Akita","Yamagata","Fukushima","Ibaraki","Tochigi","Gunma","Saitama","Chiba","Tokyo","Kanagawa","Niigata","Toyama","Ishikawa","Fukui","Yamanashi","Nagano","Gifu","Shizuoka","Aichi","Mie","Shiga","Kyoto","Osaka","Hyogo","Nara","Wakayama","Tottori","Shimane","Okayama","Hiroshima","Yamaguchi","Tokushima","Kagawa","Ehime","Kochi","Fukuoka","Saga","Nagasaki","Kumamoto","Oita","Miyazaki","Kagoshima","Okinawa"
-1,104403,4078,149,27,788,67,84,387,742,449,900,6182,4722,32825,9145,197,424,822,256,225,334,648,665,6246,544,547,1962,13856,3469,626,289,44,141,198,644,225,165,105,117,142,5221,253,397,741,162,373,463,3357
1,0.352281093092854,0.0257366300103835,0,0,0,0,0,0,0,0,0,0,0.0437246564176055,0.126226983602206,0.0128736545967941,0,0,0,0,0,0,0,0,0.0662381358827264,0.0157617724889756,0,0.0157617724889756,0.0202208575948042,0,0.0257366300103835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0.434791943283474,0.0324586388255796,0,0,0,0,0,0,0,0,0,0.0122011114396543,0.056203487678584,0.152929905325806,0,0,0,0,0,0,0,0,0,0.0823618159882787,0.0202208575948042,0,0.0202208575948042,0.0257366300103835,0,0.0324586388255796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0.535314594794641,0.0405015058723429,0,0,0,0,0,0,0,0,0,0.0157617724889756,0.0716941176155712,0.181860254276187,0,0,0,0,0,0,0,0,0,0.101063539822874,0.0257366300103835,0,0.0257366300103835,0.0324586388255796,0,0.0405015058723429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0.649454308714986,0.0499031771626991,0,0,0,0,0,0,0,0,0,0.0202208575948042,0.0906539076615428,0.211304214666569,0,0,0,0,0,0,0,0,0,0.12205019094317,0.0324586388255796,0,0.0324586388255796,0.0405015058723429,0,0.0499031771626991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0.798521685461456,0.0605620339505312,0,0,0,0,0,0,0,0,0,0.0257366300103835,0.12566276200992,0.238352280757186,0,0,0,0,0,0,0,0,0,0.144538644435865,0.0405015058723429,0,0.0527026173119972,0.0499031771626991,0,0.0605620339505312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0.946754292798173,0.0721470137804705,0,0,0,0,0,0,0,0,0,0.0324586388255796,0.168270744126371,0.258584742384251,0,0,0,0,0,0,0,0,0,0.167015979136126,0.0499031771626991,0,0.0656649496516747,0.0605620339505312,0,0.0721470137804705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,1.08189155452582,0.0839766104853334,0,0,0,0,0,0,0,0,0,0.0405015058723429,0.207009875147541,0.26597659324441,0,0,0,0,0,0,0,0,0,0.186958420014521,0.0605620339505312,0,0.0807828915453354,0.0721470137804705,0,0.0839766104853334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,1.19854772701132,0.0948689653556555,0,0,0,0,0,0,0,0,0,0.0499031771626991,0.25081354911666,0.253517080915973,0,0,0,0,0,0,0,0,0,0.200568721048019,0.0721470137804705,0,0.097883643790854,0.0839766104853334,0,0.0948689653556555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,1.27861700427595,0.102981809529188,0,0,0,0,0,0,0,0,0,0.0605620339505312,0.298295503587101,0.215818409397343,0,0,0,0,0,0,0,0,0,0.202696613130702,0.0839766104853334,0,0.116435249310913,0.0948689653556555,0,0.102981809529188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
